dataset,x,y
2,37.8904155015,82.5674929978
2,39.5489736947,80.812601774
2,39.6495738769,82.6645338713
2,34.7505970472,80.0110909897
2,27.560835291,72.8478255927
2,24.6355399754,71.6107148256
2,20.9594648125,66.0414983826
2,20.6891490538,62.7213052064
2,19.2882047369,62.0630593582
2,20.0245005746,61.3426238695
2,35.4695229971,43.1158849517
2,36.8943276507,47.7065559687
2,39.0555497751,55.5469737131
2,46.9570801494,65.2404073935
2,37.3104527352,45.2587508999
2,40.0096720019,60.9865825077
2,48.0143866846,65.7128195934
2,53.7037759268,66.3894820363
2,63.0674998921,64.0350004581
2,62.0480325076,63.8458632494
2,59.8399667124,64.4767644437
2,55.1609418175,65.2373081694
2,61.2797865792,65.766402504
2,60.8349175348,64.6037697063
2,61.5205906458,64.7918550418
2,36.916543863,41.0952474383
2,38.5021996714,41.5671556174
2,48.6643707344,30.6806668519
2,50.2852524042,30.3379221051
2,42.276332666,34.5276361236
2,54.0317756204,29.6723483149
2,37.3293552552,39.6020423074
2,41.389522551,37.2960562328
2,40.0746666572,34.6236852027
2,35.3496806211,47.1410731332
2,34.7637004189,47.6247999245
2,37.0266294472,44.4622930512
2,36.4555695327,40.791843032
2,35.5376642131,48.7293868661
2,20.4089478892,32.2030304205
2,23.4957104659,25.3224681542
2,29.5575433634,21.3647774591
2,33.0082339121,15.9850714584
2,53.9803991821,29.3509867092
2,52.2343086004,29.711672986500002
2,59.5030766063,30.6696739448
2,41.1637810689,34.3157582514
2,48.9930401201,32.0303588363
2,59.2692803248,29.6407017654
2,45.4691770035,33.8311927323
2,62.6912665406,30.2903738312
2,73.4286708654,48.5778551303
2,70.846426107,52.282253331
2,71.5390198495,45.5218061588
2,67.6208658884,38.0065584658
2,72.4709525633,51.1221348241
2,64.8122375621,62.8109155873
2,60.8536798727,65.4991470327
2,67.7894961571,61.3637015467
2,41.6095572691,83.8486865559
2,53.0030253202,84.6747986012
2,54.7141710591,84.0431280734
2,44.2916687157,82.9094412144
2,49.1917219555,85.8762291224
2,53.1013817819,84.5476586881
2,51.599848153,84.8198214898
2,54.3797219484,84.2403555494
2,46.4807681047,83.518211666
2,53.174656268,84.2605679876
2,45.272002941,85.2370794195
2,36.03340215,53.371687755
2,28.2711941653,72.840231257
2,25.0548060847,71.5485979221
2,64.7588870014,82.3152236405
2,63.1445274767,85.2366963264
2,50.4246786898,85.1747475891
2,70.6449962629,82.4309187567
2,63.1490490834,83.9468553485
2,62.8240245172,84.9661859507
2,70.236869515,82.1711510621
2,70.0427352449,80.3850213547
2,72.5706234458,80.9712184346
2,75.1307160373,79.9840931403
2,83.2939057345,70.7784317876
2,79.6642622775,73.9323097157
2,88.4321025254,64.6242470023
2,89.1155590082,64.0015066388
2,89.0921976305,57.768193047
2,91.7260057727,52.6233532573
2,91.7355387598,48.9702108877
2,91.5078881747,53.3126520851
2,88.239001904,31.4774348786
2,88.5305192041,30.4760310098
2,55.3651603364,30.4458502777
2,62.5602588694,30.4471356661
2,58.0066691227,30.2537212987
2,55.0671179917,29.0115351997
2,61.6147759612,29.9943911942
2,68.5431435378,35.6578321706
2,77.7061096487,20.3042601852
2,68.4530459999,13.0355285908
2,68.2572064402,12.3846391542
2,70.2554746739,13.2503849689
2,65.0443252778,11.0008414785
2,60.0922466078,11.8721117093
2,52.9920289667,9.90666848335
2,50.1446289773,12.2115430946
2,46.5086141932,11.2071344881
2,43.8070319612,11.3189448865
2,57.8178546865,10.9451424306
2,50.9404926595,9.69154713447
2,63.4973230835,11.9140691707
2,50.0164829541,11.9338520864
2,58.6367650809,11.9747210652
2,54.7302890863,11.4128826732
2,65.8755478023,11.7324363627
2,57.0609827131,9.92056085444
2,46.819907946,10.4946526804
2,38.3593948725,13.431322624
2,47.3154157773,12.853451784
2,55.0519165396,11.9499886181
2,50.5159602579,9.76559162187
2,49.6774146514,10.3831325083
2,67.2806595188,14.1286515323
2,66.1730182606,12.0379170217
2,61.0885441374,10.0845344144
2,66.0530857731,13.3802260073
2,72.6699892655,15.2342259409
2,61.503472503,10.8284144754
2,68.995028632,13.9943105293
2,78.2499161658,17.8832409068
2,36.4819805699,15.1627600944
2,50.9677483784,29.6797742875
2,91.1910536059,46.6743428399
2,55.8637684939,85.3364867573
2,49.2805947987,84.0488228306
2,43.3685015447,84.3321772039
3,55.9930301513,79.2772636977
3,50.0322537946,79.013071199
3,51.2884586593,82.4359398425
3,51.1705368873,79.1652941091
3,44.3779145287,78.1646280036
3,45.0102700721,77.8808631153
3,48.559816719,78.7883706035
3,42.1422682922,76.8806345544
3,41.0269715735,76.4095884613
3,34.5753090115,72.7248411845
3,31.1686007236,69.2454213193
3,32.6442540714,70.7325550334
3,26.6666456539,62.9809712052
3,26.4592623274,62.6346733709
3,25.5380076465,60.6302361093
3,26.3207111933,62.3962811186
3,26.1633874648,62.0268148985
3,25.2137904611,60.2733986018
3,26.8595295604,63.1418346727
3,31.7606691716,69.7976553936
3,39.7932905744,75.8079642168
3,45.6174391854,78.1199702277
3,53.7714606827,79.3029316435
3,56.4514336733,79.2471070208
3,66.0937201989,77.0178182606
3,56.9258394194,79.2063186226
3,58.9882538467,78.9172589554
3,57.9022660533,79.0808678187
3,64.8128669568,77.4869389235
3,60.3497935166,78.7294458673
3,48.890555756,16.8065435154
3,47.549506348,17.0714045245
3,30.8894308257,26.3290372348
3,28.972835724,29.0504689185
3,35.1613607523,22.7868496473
3,45.8703691685,17.4893933655
3,32.8314206076,24.7975381459
3,39.4855747899,20.0330500489
3,33.4461829314,24.1906434075
3,21.8635812756,46.0525933457
3,25.1658708449,35.7666139539
3,22.9594789762,51.2877067934
3,25.5860552415,60.8465833585
3,26.3143100672,33.2971681038
3,33.037301251,24.5644624921
3,36.4688894772,21.8761144725
3,26.5135531009,32.9187498178
3,36.0270912125,22.1954385395
3,42.6810404129,18.5425361977
3,45.0410771273,17.7345177303
3,47.3524164557,17.1347454264
3,53.8461940322,16.3873180961
3,55.1296393835,16.3532468711
3,52.188119961699996,16.4182174652
3,58.6726630845,16.6633724322
3,82.1443116037,33.1952218669
3,75.6865711383,24.7415103908
3,85.344964503,52.886419866
3,83.8446535127,58.6160602305
3,85.66476066,45.5427527692
3,77.931004934,68.6900618808
3,73.0318330209,73.12057473
3,70.1028044999,75.6832068542
3,57.1446946889,79.1941025922
3,46.9624619942,78.6665589963
3,50.5649338128,79.0772985529
3,53.7196765696,79.306936167
3,54.2002323226,79.3250023354
3,47.875198343,78.6758534295
3,51.4734585149,79.1598669963
3,52.7512222162,79.2936599344
3,48.5622230047,78.7823835275
3,53.0812416908,79.2972507654
3,56.475383374,79.1678400979
3,49.570911405,79.0381238831
3,37.6277032991,74.5575043418
3,32.2637000863,70.3166389012
3,32.542380336,70.7024172063
3,52.8250171923,85.5781338795
3,58.5282895407,78.9787042541
3,56.265834263,79.2529394854
3,57.0758924193,79.1939225382
3,54.2564023808,79.3138648504
3,62.6856712475,78.1747432719
3,68.0856058616,76.1123175001
3,65.1181219632,77.3991884543
3,68.7456312971,75.7900554548
3,63.0902251412,78.041409495
3,77.2045893204,69.3121497658
3,82.0339084758,62.6818697859
3,81.5779459183,63.8949255005
3,85.1801432805,53.7816766607
3,84.2868249936,57.2561680896
3,85.6224867126,45.0241658646
3,85.6044990156,50.7623379055
3,84.4247858276,38.761410164
3,85.570985078,44.5600964397
3,84.6267242006,39.4870775084
3,73.3961549252,22.8162479426
3,73.5074477338,22.8569887644
3,63.3564881135,17.7240688424
3,72.9590468722,22.5114998325
3,64.0208416469,17.8835812521
3,61.124463241,17.1163533592
3,75.6742073297,24.7825009657
3,69.5135831574,20.2793578927
3,58.5721354669,16.642703808
3,70.9819409865,21.1458881039
3,65.2230303973,18.3971951223
3,65.3150439093,18.3337482986
3,64.0102406778,17.9244781912
3,57.1409359294,16.5986105437
3,56.3651532552,16.3265463742
3,43.046183241,18.4025593948
3,52.0817555582,16.4538745312
3,42.8790365154,18.4894110252
3,51.5669948027,16.4857136372
3,58.8391251216,16.6376352154
3,60.7557891374,17.0332315064
3,54.7611561181,16.3661890954
3,53.5699050003,16.3397125506
3,48.9146182416,16.7986370826
3,52.6461373069,16.3848363836
3,49.8384929905,16.6763302777
3,52.6840664009,16.4079627826
3,65.8072190346,18.1407649473
3,60.6739209233,17.0518023644
3,63.394712866,17.7005351354
3,64.8020094467,18.2168786335
3,65.0259398087,18.2878245002
3,65.7555515404,18.5162158303
3,69.9677341245,20.5389887758
3,68.8927840241,20.0324488429
3,61.8265465579,17.2696554452
3,60.7879700808,17.0462048583
3,61.9156096372,17.2821912228
3,45.0289975331,17.7244473049
3,39.9213628084,19.7018495281
3,84.7942778751,55.5686503735
3,55.6629587449,83.3564796243
3,50.4922475132,78.997532065
3,51.4671011416,79.2018445773
4,55.3846,97.1795
4,51.5385,96.0256
4,46.1538,94.4872
4,42.8205,91.4103
4,40.7692,88.3333
4,38.7179,84.8718
4,35.641,79.8718
4,33.0769,77.5641
4,28.9744,74.4872
4,26.1538,71.4103
4,23.0769,66.4103
4,22.3077,61.7949
4,22.3077,57.1795
4,23.3333,52.9487
4,25.8974,51.0256
4,29.4872,51.0256
4,32.8205,51.0256
4,35.3846,51.4103
4,40.2564,51.4103
4,44.1026,52.9487
4,46.6667,54.1026
4,50,55.2564
4,53.0769,55.641
4,56.6667,56.0256
4,59.2308,57.9487
4,61.2821,62.1795
4,61.5385,66.4103
4,61.7949,69.1026
4,57.4359,55.2564
4,54.8718,49.8718
4,52.5641,46.0256
4,48.2051,38.3333
4,49.4872,42.1795
4,51.0256,44.1026
4,45.3846,36.4103
4,42.8205,32.5641
4,38.7179,31.4103
4,35.1282,30.2564
4,32.5641,32.1795
4,30,36.7949
4,33.5897,41.4103
4,36.6667,45.641
4,38.2051,49.1026
4,29.7436,36.0256
4,29.7436,32.1795
4,30,29.1026
4,32.0513,26.7949
4,35.8974,25.2564
4,41.0256,25.2564
4,44.1026,25.641
4,47.1795,28.718
4,49.4872,31.4103
4,51.5385,34.8718
4,53.5897,37.5641
4,55.1282,40.641
4,56.6667,42.1795
4,59.2308,44.4872
4,62.3077,46.0256
4,64.8718,46.7949
4,67.9487,47.9487
4,70.5128,53.718
4,71.5385,60.641
4,71.5385,64.4872
4,69.4872,69.4872
4,46.9231,79.8718
4,48.2051,84.1026
4,50,85.2564
4,53.0769,85.2564
4,55.3846,86.0256
4,56.6667,86.0256
4,56.1538,82.9487
4,53.8462,80.641
4,51.2821,78.718
4,50,78.718
4,47.9487,77.5641
4,29.7436,59.8718
4,29.7436,62.1795
4,31.2821,62.5641
4,57.9487,99.4872
4,61.7949,99.1026
4,64.8718,97.5641
4,68.4615,94.1026
4,70.7692,91.0256
4,72.0513,86.4103
4,73.8462,83.3333
4,75.1282,79.1026
4,76.6667,75.2564
4,77.6923,71.4103
4,79.7436,66.7949
4,81.7949,60.2564
4,83.3333,55.2564
4,85.1282,51.4103
4,86.4103,47.5641
4,87.9487,46.0256
4,89.4872,42.5641
4,93.3333,39.8718
4,95.3846,36.7949
4,98.2051,33.718
4,56.6667,40.641
4,59.2308,38.3333
4,60.7692,33.718
4,63.0769,29.1026
4,64.1026,25.2564
4,64.359,24.1026
4,74.359,22.9487
4,71.2821,22.9487
4,67.9487,22.1795
4,65.8974,20.2564
4,63.0769,19.1026
4,61.2821,19.1026
4,58.7179,18.3333
4,55.1282,18.3333
4,52.3077,18.3333
4,49.7436,17.5641
4,47.4359,16.0256
4,44.8718,13.718
4,48.7179,14.8718
4,51.2821,14.8718
4,54.1026,14.8718
4,56.1538,14.1026
4,52.0513,12.5641
4,48.7179,11.0256
4,47.1795,9.8718
4,46.1538,6.0256
4,50.5128,9.4872
4,53.8462,10.2564
4,57.4359,10.2564
4,60,10.641
4,64.1026,10.641
4,66.9231,10.641
4,71.2821,10.641
4,74.359,10.641
4,78.2051,10.641
4,67.9487,8.718
4,68.4615,5.2564
4,68.2051,2.9487
4,37.6923,25.7692
4,39.4872,25.3846
4,91.2821,41.5385
4,50,95.7692
4,47.9487,95
4,44.1026,92.6923
5,51.1479167122,90.8674123313
5,50.5171258092,89.1023945866
5,50.2074801993,85.4600473951
5,50.0694819181,83.0576695262
5,50.562846338600004,82.9378217764
5,50.288527801,82.9752535659
5,25.5834750822,82.9148911324
5,25.4835833896,82.929084979
5,25.4435257049,82.8742004973
5,25.5651134237,82.9240977704
5,25.9288442731,82.8211841087
5,27.5514782612,51.4873865306
5,27.5304663693,51.4148465629
5,27.0955703605,52.0767994399
5,27.4392496133,51.7120790527
5,27.8782642594,50.70890793
5,27.3388689181,51.6530467544
5,27.6784029741,51.1819891691
5,52.6356576791,51.4185522584
5,52.0252141055,52.1230110467
5,52.8811647904,50.6215547554
5,52.9526073133,50.0747390118
5,52.5205524936,51.5024421035
5,52.3428220582,51.8619520908
5,51.9275902141,52.2577906065
5,52.7137744894,51.1979443188
5,50.4438027888,82.9418288173
5,50.2166950326,83.7523429676
5,52.1841801076,51.9752506714
5,52.7920973459,51.0733956509
5,52.5897198565,51.338090196
5,52.0288486671,52.1768375002
5,52.729246581,51.2017650475
5,52.8843132864,50.4414354501
5,52.5093008862,51.4162051508
5,50.8626843321,17.1456310914
5,50.8914922458,17.1413237277
5,25.8551275976,17.0819086886
5,26.0256445518,16.9250135319
5,27.8931727187,50.6619634101
5,27.6399679354,51.3990974838
5,27.892658895,50.7952815163
5,52.7977329399,50.6860370901
5,27.5806388053,51.5247612607
5,26.4913985349,17.4053909738
5,25.9853178159,17.203722132
5,26.2014192753,17.0938239128
5,25.857569474600002,17.113842659
5,50.7046843629,17.0237445436
5,50.8119753465,17.1149252621
5,50.564845557699996,17.0777773216
5,50.9393039127,16.981021883
5,50.4588548392,17.0385789686
5,52.9013640729,50.6905627231
5,52.6849534438,51.2944692191
5,52.500088943,51.594356165
5,51.8356372562,52.3357655339
5,76.9954121013,52.0455286534
5,77.310600475,51.7467300374
5,77.9260443352,50.3186604237
5,77.2543883433,51.4618248152
5,76.2431578028,52.1236898503
5,77.0844843669,51.9671367003
5,75.2280531954,82.9856620201
5,50.6583547714,83.1144793358
5,50.2033658114,82.9826568621
5,50.9295476993,82.8460411252
5,50.1786718465,83.1846223323
5,50.422698058,82.9099014671
5,50.4642248341,82.9353284131
5,50.4492703306,83.9699203811
5,49.9283802752,82.9936654888
5,50.4880136436,83.0995191232
5,49.9649053793,83.7083177013
5,50.7521082559,82.9019500961
5,27.4224292143,51.4388762325
5,27.6740833991,51.3041121452
5,27.5373953151,51.593654076200004
5,52.2633473764,94.2493278274
5,51.7372816586,92.9791175339
5,75.8709636929,88.3864417377
5,75.2443262052,83.9034973788
5,75.1982952889,83.4623033365
5,75.7010415321,82.9194588559
5,75.4793396586,82.8840513891
5,75.1945668739,82.9321157846
5,74.8202539551,82.9623887856
5,75.1643404933,83.0349971693
5,75.2633555474,82.9452793018
5,77.7564189331,51.1517703255
5,77.9544350549,50.4755789715
5,77.0833377719,52.1577992662
5,76.0635502513,52.1046520613
5,77.6820163247,51.1656378096
5,76.8780819814,51.8675622958
5,76.9485027211,51.9075165439
5,77.8640547124,49.6625455341
5,75.7714500936,17.1112512057
5,52.3315691301,51.8788603463
5,52.5928183721,51.3915915185
5,50.4770477213,17.0482894119
5,75.2964750909,17.015653188800002
5,75.573954129,17.0621921415
5,75.4005271583,17.0411068868
5,75.8709908356,17.1348939075
5,75.6058847579,17.0677230553
5,75.8955770466,17.1699497051
5,75.7465632023,17.1057165115
5,75.1423414811,16.7549238932
5,50.6617795563,17.0781405153
5,50.6998506392,17.0851843836
5,50.9189408654,17.1476047571
5,50.7252585405,16.9074698083
5,51.2638712274,17.1623497098
5,51.2509196468,17.2404558616
5,50.7851572052,17.1801964842
5,50.5013965822,17.1057707188
5,50.7336745372,16.9929634144
5,50.7113785398,17.0883158538
5,50.8127448984,16.5727180506
5,51.014232955,17.2210955293
5,50.3535214052,17.0647430794
5,50.4355295722,17.0651685025
5,50.6309819633,17.0765223454
5,51.0668072036,17.2088597095
5,50.7923547263,17.2042143387
5,50.5512780561,17.0846551833
5,50.5597580562,17.0938837744
5,75.3259785471,15.7718919896
5,75.04472578,17.0042622562
5,75.2870877232,16.1749349097
5,75.2399699777,17.0318474866
5,75.1524592023,17.0049424015
5,75.9618400861,16.6948422289
5,75.4480625064,17.0451494125
5,75.7593838168,16.9429296545
5,50.378262298,16.9462798113
5,50.5336350094,17.0195813691
5,77.5009073165,50.1669859475
5,50.6911241884,87.5139604241
5,49.9903949511,83.997356924
5,50.1271820272,82.990749996
6,53.366566866,90.2080300059
6,52.8019793617,90.0880645063
6,47.0541298828,90.458936026
6,42.4484337816,89.5077001153
6,42.7040363241,90.4426288607
6,32.3789386326,90.144142631
6,32.5307027362,70.1573965085
6,33.3652644305,70.4593354392
6,32.6560991775,70.0510704992
6,22.9550932697,70.4268951523
6,27.1498436318,70.2108058428
6,26.1669092779,70.5003151212
6,26.3314570795,50.494556525
6,22.0037091415,50.4994401238
6,23.2847479782,50.4743528321
6,27.6340383923,50.5036668574
6,32.0371080007,50.5000661229
6,29.3365106528,50.461893969
6,40.816953133,50.4877601957
6,42.7390751173,50.483155992
6,51.8678937691,50.4932732621
6,43.3710018924,50.5008373234
6,53.0427983006,50.4875038691
6,56.6189102967,50.5033740178
6,70.568289819,50.4962361243
6,67.870887292,70.0680261345
6,58.8215465891,70.4557817483
6,60.1869278445,70.4835512458
6,59.4355174849,50.4206326073
6,49.5858434795,50.4349813825
6,41.7797417848,50.4706422808
6,46.1276863394,30.4494107792
6,38.0337837705,50.4908995189
6,44.5468412844,50.4159133758
6,46.2381175975,30.4956129408
6,49.7397453317,30.4727248868
6,39.1102518936,30.4786951789
6,39.1428377913,30.7928559394
6,34.6254702671,30.4997410297
6,34.7542074707,30.4958650002
6,36.7537002386,50.5293043035
6,37.0193512929,50.4926666972
6,41.4171152753,50.4697734181
6,22.8171074784,30.4360403387
6,34.800701463,30.4979313851
6,27.8918897953,30.4849702595
6,32.8706391587,30.5023417488
6,37.7940494081,30.4926383364
6,35.6673163042,30.522035054
6,48.4422995026,30.5017227753
6,58.6693732631,30.5068378948
6,47.9169554375,30.4867257545
6,51.8941663939,30.494755684
6,51.7490891643,30.4729933399
6,58.2465530013,50.4428744949
6,57.3106968674,50.4825132895
6,67.9680481127,50.4521589097
6,65.9493192681,50.494240794
6,55.7470928102,50.4789748003
6,68.4030100436,50.4986272318
6,76.696465628,50.4938305609
6,67.2148371159,70.2600284356
6,72.3020057291,70.2204373812
6,66.7632573944,70.4738617113
6,51.6803004439,89.9970275485
6,53.0965573571,89.540243712
6,42.2422929389,89.7085785936
6,56.2338756577,89.635308157
6,54.6809865825,89.9645994589
6,57.9026866088,89.6184017294
6,51.8202625467,89.8341303987
6,56.8283953362,89.5836647251
6,58.2722785867,69.9002729578
6,51.8281274487,70.3526492053
6,44.8499842618,70.3952029719
6,24.2703823928,50.4855676918
6,34.7424714403,70.3399348879
6,37.7993149267,70.4695358763
6,49.7869410649,89.6580469945
6,59.751497414,89.7319325216
6,64.7747992444,90.132316736
6,70.8444476004,89.9242090159
6,70.6059455116,90.042061963
6,78.6424883907,89.5512032307
6,70.810692254,89.5926540118
6,66.7699466213,70.4233752108
6,73.3363681612,70.3169271705
6,73.1051481627,70.300511881
6,74.6782541432,70.4453141903
6,80.240250951,70.3543089613
6,70.9468490729,50.4727017878
6,88.6626638086,50.4553260208
6,84.405952832,50.4948658866
6,75.9871047068,50.4919669557
6,91.1120854191,50.489389393
6,98.2881232748,30.603919371899998
6,95.0652748396,30.5004028652
6,95.2492339568,30.4594542144
6,49.6561262881,50.4313198677
6,63.0186009279,30.4925819262
6,70.5382006004,30.4835582526
6,70.0868697658,30.5100448173
6,62.6856904424,30.5464245575
6,69.239417959,30.5060052447
6,80.4002336791,30.4850063746
6,74.6478782284,30.6738628584
6,65.9952727194,30.4750241915
6,67.0885590036,30.4945239508
6,59.8525770283,10.5431877763
6,53.7489900744,10.5225745323
6,58.2390955164,10.4948990284
6,54.810300495,10.7249292845
6,52.9767123211,10.859490276
6,52.2038939272,10.4956369212
6,50.7451622429,10.5249055723
6,42.7131936166,10.4875472428
6,45.3172255098,10.4958733944
6,53.116915041,10.5068605973
6,57.049801823,10.5081369414
6,54.8546309465,10.4639151924
6,54.9248425638,10.498331942
6,63.3095540306,10.4888142392
6,49.7494984129,10.4858029097
6,41.1693104232,10.4973002433
6,46.6883404976,10.5075321353
6,52.4189219215,10.4959063596
6,50.8784883796,10.5030898746
6,57.0533061394,10.5140692392
6,70.7864511597,10.5136950409
6,56.7721495656,10.5032723508
6,75.4772220231,10.5185680355
6,76.7659121498,10.496999064
6,77.621049129,10.4958742318
6,65.4144870523,10.6818401251
6,69.9647805002,10.5072329326
6,64.9697382623,10.4821595117
6,38.0502407785,30.4079460343
6,42.2241202189,30.4980371582
6,87.6984642949,50.4899365296
6,52.3603310701,89.7043170068
6,51.4067867898,89.7121385499
6,43.588468468,89.7455365536
7,57.6132335477,83.9051707998
7,51.2743918205,82.8179829379
7,50.7538984114,76.7541289533
7,37.0211840116,81.954469997
7,42.8817550897,80.1847700514
7,37.1557104777,84.9541114129
7,38.7318581261,83.7893564281
7,31.0005254108,82.5794805962
7,25.9854996226,74.3493875478
7,23.7145662909,75.0980490792
7,23.077319507,71.7205396747
7,24.9391368744,72.5802858084
7,17.8934987136,71.1096873431
7,23.6730818572,64.8708391385
7,23.7490719056,63.557171895
7,32.2151786343,65.6009580191
7,29.4368412489,67.5545281141
7,40.0500951983,71.8890335708
7,37.5747950188,69.9887444412
7,49.3104686263,67.1687603206
7,47.3480185524,72.5916115408
7,50.157414434,71.1617258246
7,58.2100082697,68.0445380719
7,56.6089076561,70.4089460888
7,52.8338205303,72.5518862725
7,61.8185854576,76.1128240228
7,61.7276334143,77.0692384058
7,62.1922520815,76.1568192103
7,58.1187658587,73.1189614684
7,58.2704123843,35.5968950425
7,59.7665303129,32.6212516009
7,52.5355347207,27.1741229419
7,50.8925215809,29.1452839382
7,49.9675511775,28.4602033343
7,51.3478832298,27.3642602259
7,37.5551162883,24.5376638386
7,39.1995941778,23.6804956588
7,36.3827221955,25.2380052325
7,41.1006943822,26.5526132161
7,28.2178118248,28.2802924847
7,33.7970720433,28.6997507433
7,43.9193873055,27.7978445882
7,44.4164011084,28.9476923345
7,28.0376027706,26.8038243613
7,31.6895761296,26.6664002089
7,27.2796128523,19.2572809685
7,31.2218783581,26.4408557812
7,33.5458051034,20.0807081014
7,39.7363306065,23.4948069772
7,42.8418426525,20.3339004396
7,47.0937298879,26.9934706312
7,51.4536583539,26.0229417521
7,49.3677068167,22.005580703
7,48.2534809736,29.2708555331
7,61.0029597643,30.0153144324
7,60.8065608049,27.8683134861
7,59.0674270249,26.7882840217
7,61.4146337175,31.0393750583
7,68.934369469200007,31.6198930866
7,63.0652438592,34.2357465852
7,72.2725228706,67.6444437851
7,75.3598819664,75.4216145799
7,72.8336258709,72.1146938095
7,70.8104148392,79.3504618327
7,45.8019347617,81.6582677456
7,45.835020171,82.7425919919
7,40.0788064496,80.2471852579
7,51.9829247003,82.2043834675
